epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2349,2.10456,7.82448,2.47314,0.43515,0.32458,0.30458,0.21503,2.21491,3.87877,2.50081,0.000138446,0.000138446,0.000138446
2,92.0576,2.33319,5.69379,2.64214,0.4125,0.37679,0.35101,0.23324,2.43242,3.62192,2.68818,0.000275615,0.000275615,0.000275615
3,130.872,2.41751,5.24027,2.70743,0.44875,0.36894,0.35701,0.22695,2.51423,3.655,2.75689,0.000410949,0.000410949,0.000410949
4,169.687,2.43298,4.85509,2.71802,0.43937,0.36951,0.36489,0.23629,2.553,3.83559,2.85573,0.000408743,0.000408743,0.000408743
5,208.445,2.43102,4.46348,2.71558,0.4947,0.4184,0.41801,0.27265,2.45875,3.51161,2.70275,0.000405991,0.000405991,0.000405991
6,247.287,2.40819,4.16244,2.69683,0.52979,0.44168,0.45259,0.28721,2.51053,3.43322,2.75648,0.000403239,0.000403239,0.000403239
7,286.224,2.40042,3.91461,2.68589,0.57259,0.45884,0.48444,0.31669,2.48095,3.27201,2.74846,0.000400487,0.000400487,0.000400487
8,325.06,2.35446,3.72521,2.66434,0.54015,0.47462,0.48894,0.31512,2.46972,3.11463,2.67959,0.000397735,0.000397735,0.000397735
9,363.855,2.33957,3.53988,2.64035,0.57935,0.43082,0.47287,0.30606,2.52009,3.37095,2.77372,0.000394982,0.000394982,0.000394982
10,402.894,2.33276,3.41091,2.63064,0.59813,0.49643,0.5229,0.3436,2.48007,3.09475,2.71352,0.00039223,0.00039223,0.00039223
11,441.794,2.30953,3.32885,2.61462,0.61611,0.4905,0.5383,0.35959,2.43184,2.9614,2.67877,0.000389478,0.000389478,0.000389478
12,480.64,2.31042,3.21358,2.62699,0.6588,0.4824,0.54727,0.35672,2.46532,2.98766,2.71869,0.000386726,0.000386726,0.000386726
13,519.442,2.295,3.15992,2.60344,0.61744,0.51334,0.55681,0.36741,2.44976,2.90924,2.66292,0.000383974,0.000383974,0.000383974
14,558.379,2.28851,3.14382,2.61427,0.65034,0.50477,0.55835,0.37565,2.437,2.99996,2.69144,0.000381221,0.000381221,0.000381221
15,597.283,2.27186,3.05698,2.59676,0.65839,0.54218,0.58166,0.37664,2.42672,2.78204,2.65328,0.000378469,0.000378469,0.000378469
16,636.182,2.26024,2.95425,2.56972,0.64414,0.52413,0.56533,0.37683,2.40781,2.8417,2.6563,0.000375717,0.000375717,0.000375717
17,675.166,2.23209,2.88029,2.5642,0.61342,0.54198,0.56888,0.37538,2.43959,2.88133,2.63562,0.000372965,0.000372965,0.000372965
18,714.044,2.23377,2.84443,2.56101,0.62178,0.52935,0.56459,0.37854,2.4123,2.85743,2.64948,0.000370213,0.000370213,0.000370213
19,753.051,2.20787,2.81614,2.54329,0.67649,0.56576,0.60928,0.41347,2.41519,2.75216,2.66899,0.00036746,0.00036746,0.00036746
20,791.978,2.21333,2.77493,2.54445,0.67123,0.54523,0.58923,0.38715,2.42504,2.77751,2.66182,0.000364708,0.000364708,0.000364708
21,830.939,2.21846,2.73187,2.55377,0.67104,0.54998,0.60925,0.41311,2.39426,2.66559,2.63026,0.000361956,0.000361956,0.000361956
22,869.995,2.20564,2.68732,2.52672,0.68167,0.54757,0.60599,0.4063,2.39454,2.66726,2.65654,0.000359204,0.000359204,0.000359204
23,908.941,2.1888,2.61155,2.50569,0.6489,0.55431,0.59439,0.40239,2.41912,2.71153,2.66203,0.000356452,0.000356452,0.000356452
24,947.905,2.18272,2.63403,2.52022,0.70294,0.56673,0.62626,0.42713,2.39543,2.58533,2.62491,0.000353699,0.000353699,0.000353699
25,986.845,2.16125,2.57879,2.49721,0.67711,0.58737,0.64499,0.4347,2.40352,2.51932,2.63174,0.000350947,0.000350947,0.000350947
26,1025.81,2.13513,2.5441,2.49613,0.68932,0.58561,0.64001,0.43408,2.36264,2.5338,2.60086,0.000348195,0.000348195,0.000348195
27,1064.7,2.15662,2.5311,2.4968,0.68906,0.56316,0.62248,0.41713,2.36905,2.57956,2.61084,0.000345443,0.000345443,0.000345443
28,1103.71,2.12343,2.47252,2.48023,0.68098,0.57589,0.62155,0.42521,2.36737,2.64231,2.61025,0.000342691,0.000342691,0.000342691
29,1142.56,2.12812,2.46169,2.47703,0.74044,0.57805,0.64901,0.43833,2.38587,2.53881,2.6401,0.000339938,0.000339938,0.000339938
30,1181.43,2.11038,2.44433,2.47947,0.68064,0.57154,0.62307,0.41454,2.39317,2.5939,2.62057,0.000337186,0.000337186,0.000337186
31,1220.32,2.10247,2.42744,2.47166,0.72276,0.57198,0.63482,0.43205,2.35089,2.57299,2.59946,0.000334434,0.000334434,0.000334434
32,1259.27,2.11146,2.38693,2.45525,0.73002,0.59067,0.64881,0.44153,2.36611,2.46285,2.61991,0.000331682,0.000331682,0.000331682
33,1298.31,2.11841,2.39032,2.46256,0.69604,0.59547,0.65105,0.44317,2.3543,2.48493,2.60338,0.00032893,0.00032893,0.00032893
34,1337.18,2.07647,2.31157,2.44939,0.72563,0.56546,0.64303,0.4401,2.38268,2.62949,2.63592,0.000326177,0.000326177,0.000326177
