epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.798,2.10456,7.82448,2.47314,0.43515,0.32458,0.30458,0.21503,2.21491,3.87877,2.50081,0.000138446,0.000138446,0.000138446
2,79.2283,2.33319,5.69379,2.64214,0.4125,0.37679,0.35101,0.23324,2.43242,3.62192,2.68818,0.000275615,0.000275615,0.000275615
3,118.263,2.41751,5.24027,2.70743,0.44875,0.36894,0.35701,0.22695,2.51423,3.655,2.75689,0.000410949,0.000410949,0.000410949
